typeNo,typeId,typeName,baseCode,mainRouteId,mainRoute,subRouteId,subRoute,questionId,axis,targetSide,targetOptionText,weight,weightFormulaVersion,sourceRule,semanticAuditStatus,semanticAuditReason,lockStatus
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q01,thinking_action,A,目的や条件を整理し、進め方を考えてから動く,1.25,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q04,divergent_convergent,A,目的や前提から見直し、別の考え方も探す,1.0625,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q08,divergent_convergent,B,見落としがないよう、周りの原因まで広く考える,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q12,divergent_convergent,A,関係が薄そうな情報も集め、意外なつながりを探す,1.0,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q16,divergent_convergent,B,周りの情報まで広げ、新しい論点がないか探す,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q17,thinking_action,A,追加情報を集め、根拠を増やしてから決める,1.375,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q19,solo_team,A,まず自分で仮説を立て、解決までの道筋を考える,1.3125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q20,divergent_convergent,A,実現できるかはいったん置き、方向の違う案をたくさん出す,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q28,divergent_convergent,A,複数の案を残し、比べるための材料を増やす,1.1875,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
1,vision-architect,事業構想家,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,q40,divergent_convergent,B,早く絞りすぎて、もっと良い可能性を逃すこと,1.125,type-question-frequency-v1,type,verified,分岐の判断原理・近接分岐との境界に対して対象側が矛盾しないことを確認,locked-not-implemented
