typeNo,typeId,typeName,englishName,baseCode,mainRouteId,mainRoute,subRouteId,subRoute,evidenceQuestionIds,topAbility1,topAbility2,relativeLagAbility,topAxis1,topAxis2,centralAxis,logic,execution,sales,creativity,management,thinking,action,offensive,stable,individual,group,divergent,convergent,bestPartner,evidenceCount,evidenceWeightFormula,scoreRatio,lockStatus
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s01,潜在課題発見,"q01,q04,q08,q12,q16,q17,q19,q20,q28,q40",論理力,創造力,実行力,思考,発散,個人突破,92,65,78,91,70,82,18,74,26,68,32,80,20,営業モンスター,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s02,体験再設計,"q04,q11,q12,q15,q18,q20,q24,q35,q36,q40",創造力,営業力,実行力,発散,思考,個人突破,84,68,88,93,72,76,24,72,28,61,39,86,14,構造ハッカー,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m01,顧客価値再定義,vision-architect.m01.s03,価値提案転換,"q02,q10,q11,q14,q18,q26,q34,q35,q38",営業力,論理力,実行力,攻め,思考,個人突破,88,66,91,86,69,79,21,85,15,72,28,76,24,完遂クローザー,9,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s01,収益構造再設計,"q01,q02,q06,q11,q12,q16,q19,q26,q30,q33,q34",論理力,創造力,実行力,思考,攻め,発散,96,61,79,84,78,91,9,81,19,79,21,69,31,勝ち筋ハンター,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s02,資源再配置,"q02,q04,q06,q12,q14,q20,q24,q28,q30,q36,q40",創造力,論理力,実行力,攻め,思考,個人突破,90,72,76,92,81,84,16,88,12,75,25,82,18,前線指揮官,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m02,事業構造再編,vision-architect.m02.s03,価値連鎖再編,"q03,q11,q15,q18,q19,q22,q23,q27,q31,q39",論理力,管理力,実行力,思考,攻め,個人突破,93,67,82,80,91,86,14,77,23,63,37,74,26,城塞の守護者,10,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s01,空白市場探索,"q02,q04,q10,q12,q14,q20,q24,q28,q34,q38,q40",創造力,営業力,管理力,攻め,発散,思考,86,70,88,97,62,78,22,92,8,81,19,90,10,営業モンスター,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m03,市場機会形成,vision-architect.m03.s02,変化先回り,"q01,q02,q04,q08,q10,q12,q16,q17,q28,q33,q34,q40",論理力,創造力,実行力,思考,攻め,個人突破,95,60,72,94,68,94,6,89,11,76,24,87,13,精密スナイパー,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m04,成長基盤拡張,vision-architect.m04.s01,横展開設計,"q04,q06,q12,q14,q20,q22,q24,q28,q30,q36,q40",創造力,論理力,管理力,発散,攻め,個人突破,87,74,84,96,71,81,19,83,17,66,34,93,7,巻き込みプロデューサー,11,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
1,vision-architect,事業構想家,Vision Architect,TOIE,vision-architect.m04,成長基盤拡張,vision-architect.m04.s02,基盤事業化,"q01,q03,q04,q09,q12,q18,q22,q23,q33,q36,q37,q39",論理力,創造力,実行力,思考,発散,個人突破,94,64,75,90,88,90,10,78,22,72,28,84,16,最後の砦,12,1 + 0.5 × (1 - typeQuestionFrequency / typeMaxQuestionFrequency),evidence:0.55 / ability:0.30 / axis:0.15,locked-not-implemented
